"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Switzerland",46.159648,9.002659,48,2014,12,14,2014-12-14,2014-11-14,2014-10-15,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",68,68,1,4.21950770517611,6.67425441741943,7.50376749038696,6.80386590957642,2.53301391601605,6.41369018554701,10.365991210938
"Switzerland",46.159648,9.002659,48,2016,1,5,2016-01-05,2015-12-06,2015-11-06,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",24,24,1,3.17805383034795,5.40794706344604,5.69086217880249,6.33839464187622,-2.41559448242197,2.386071777344,8.672113037109
"Switzerland",46.159648,9.002659,48,2015,12,17,2015-12-17,2015-11-17,2015-10-18,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",20,20,1,2.99573227355399,5.55573129653931,5.97074699401855,6.96562385559082,3.31572875976605,6.67736206054701,4.80092773437502
"Switzerland",46.274131,8.7741,50,2015,1,11,2015-01-11,2014-12-12,2014-11-12,"Ichthyosaura","alpestris","Ichthyosaura alpestris",2,"0","0","0",20,20,1,2.99573227355399,6.79450750350952,6.91429424285889,7.99672555923462,-0.840856933593955,-2.26523437499998,5.084222412109
"Switzerland",46.159648,9.002659,48,2013,12,24,2013-12-24,2013-11-24,2013-10-25,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",14,14,1,2.63905732961526,6.77348709106445,6.79043006896973,6.73697853088379,1.58986816406201,-1.21249999999998,10.101983642578
"Switzerland",45.927315,9.028099,47,2015,5,12,2015-05-12,2015-04-12,2015-03-13,"Triturus","carnifex","Triturus carnifex",1,"0","0","0",28,28,1,3.3322045101752,7.78415107727051,7.82660818099976,8.14392757415771,17.407922363281,11.372796630859,5.46871337890605
"Switzerland",46.174407,8.741555,49,2015,5,9,2015-05-09,2015-04-09,2015-03-10,"Lissotriton","vulgaris","Lissotriton vulgaris",2,"0","0","0",20,20,1,2.99573227355399,5.5575475692749,5.34083700180054,5.59409379959106,13.774530029297,8.62282714843803,5.89351806640605
"Switzerland",46.159648,9.002659,48,2014,1,2,2014-01-02,2013-12-03,2013-11-03,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",14,14,1,2.63905732961526,6.76629734039307,6.37335824966431,7.06624269485474,-2.85092773437498,-0.560797119141,6.43160400390605
"Switzerland",46.159648,9.002659,48,2014,3,14,2014-03-14,2014-02-12,2014-01-13,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",18,18,1,2.89037175789616,6.87509059906006,6.7444634437561,6.75521993637085,5.23305664062502,-3.18884887695299,-1.44196166992197
"Switzerland",46.159648,9.002659,48,2015,12,2,2015-12-02,2015-11-02,2015-10-03,"Salamandra","salamandra","Salamandra salamandra",3,"0","0","0",1,1,1,0,5.73083972930908,6.47584819793701,6.99621915817261,4.483239746094,5.94411621093803,8.631188964844
"Switzerland",46.174407,8.741555,49,2015,5,9,2015-05-09,2015-04-09,2015-03-10,"Lissotriton","vulgaris","Lissotriton vulgaris",2,"1","0","0",20,20,1,2.99573227355399,5.5575475692749,5.34083700180054,5.59409379959106,13.774530029297,8.62282714843803,5.89351806640605
"Switzerland",45.927315,9.028099,47,2015,5,9,2015-05-09,2015-04-09,2015-03-10,"Triturus","carnifex","Triturus carnifex",1,"1","0","0",8,8,1,2.07944154167984,7.89554452896118,7.8713755607605,8.19444465637207,15.698999023438,9.32045898437502,6.12911376953105
"Germany",51.099426,6.167827,325,2017,7,6,2017-07-06,2017-06-06,2017-05-07,"Lissotriton","vulgaris","Lissotriton vulgaris",2,"0","0","0",2,8,3,2.0228085294147,5.36032676696777,5.39113330841064,5.67182159423828,21.251763916016,14.438439941406,12.656488037109
