"L1","Lon","Lat","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
131,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
132,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
133,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
134,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
135,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
136,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
137,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
138,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
139,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
140,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
141,9.002659,46.159648,"CHE.21.1_1","CHE","Switzerland","CHE.21_1","Ticino",NA,"Bellinzona",NA,NA,"District","District",NA,"CH.TI.BZ"
